,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Round 1,,,Round 2,,,Round 3,,,Round 4,,,Round 5,,,Round 6,,,Total,,,,,,,,
,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,Pts,,,,,,,,
13,Akron,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,24,,,4,,,0,,,0,,,0,,,0,,28,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arizona,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Illinois,W,6,,L,0,,L,0,,L,0,,L,0,,L,0,,6,,,,,,,,
6,Missouri,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,UCLA,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
